four_light,1,1,1,1,1,0.9375,1,1,1,1,
four_heavy,1,0.875,0.875,0.625,0.9375,1,0.9375,0.9375,0.8125,0.8125,
five_light,0.68,0.84,0.84,0.96,0.76,1,0.76,0.76,0.76,0.76,
five_heavy,0.92,0.96,0.72,0.84,1,0.92,0.96,1,0.92,0.88,
