four_light,16,1,17,1,25,0.9375,24,1,16,1,15,1,16,1,15,1,17,1,18,1,
four_heavy,25,0.4375,25,0.625,25,0.75,25,0.6875,25,0.9375,25,0.875,25,0.75,25,0.875,25,0.6875,25,0.75,
five_light,40,0.96,40,0.96,40,0.88,33,1,34,1,40,0.92,40,0.92,40,1,40,0.72,35,1,
five_heavy,40,0.88,40,0.72,40,0.92,40,0.92,34,1,40,0.72,40,0.92,40,0.96,38,1,40,0.88,
